Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
T1,"Screw Terminal, 4Px5.08mm, 20A",CONN-TH_4P-P5.08_DB129VG-5.08-4P-GN-S,165.62,-130.205,180.0,top
T2,"Screw Terminal, 4Px5.08mm, 20A",CONN-TH_4P-P5.08_DB129VG-5.08-4P-GN-S,148.64,-136.675,-90.0,top
U1,LSM6DSO32TR,LGA-14L_2P5X3X0P83_STM,185.12,-120.575,180.0,top
U10,Si4732,SOIC-16_3.9x9.9mm_P1.27mm,114.26,-124.205,180.0,top
U12,L298N,TO-220-15_P2.54x2.54mm_StaggerOdd_Lead4.58mm_Vertical,165.65,-140.015,180.0,top
U13,LM393DR2G,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,132.84,-110.695,0.0,top
U15,DS18B20A10T6,TO-92_Inline,204.57,-98.585,0.0,top
U16,~,TO-33-4_Window-Taylan,154.56,-70.165,330.0,top
U17,LM2937xS,TO-263-3_TabPin2,163.065,-95.779,90.0,top
U2,PCM1808PWR,TSSOP-14_4.4x5mm_P0.65mm,170.2125,-77.27,270.0,top
U4,MS5351M,MSOP-10_3x3mm_P0.5mm,156.0075,-61.105,270.0,top
U5,CJ431,SOT-23,168.3725,-109.075,0.0,top
U6,TSOP4438,Vishay_MOLD-3Pin,97.36,-143.06,0.0,top
U7,PI5C3253CQEX,SSOP-16_3.9x4.9mm_P0.635mm,184.7675,-87.785,0.0,top
U8,OPA1612AxD,SOIC-8_3.9x4.9mm_P1.27mm,179.58,-68.16,270.0,top
U9,LM358,SOP-8_3.9x4.9mm_P1.27mm,112.57,-137.49,270.0,top
X1,Q13FC1350000400,FC-135R_L3.2-W1.5,120.585,-126.16,-90.0,top
Y1,X322525MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,150.52,-60.455,0.0,top
